Componente_1,Componente_2,Componente_3,cluster,cluster_nombre
9.634749,7.251889,19.10124,1,
-0.19834037,-2.7637844,24.36524,4,
7.237972,1.2942979,23.537327,4,
0.6084271,28.843782,8.922277,1,
-32.21417,-9.194811,-10.3706045,0,
3.4784493,-10.944694,-28.93527,4,
20.734365,17.407417,-5.18768,4,
-12.12159,-11.905026,-31.687847,0,
10.639041,-8.141841,-13.187709,3,
22.885277,15.624371,-3.788691,4,
28.813742,5.740164,14.85772,4,
6.2072854,-9.352939,0.8775625,1,
9.168936,11.820336,10.106865,1,
-34.14076,-3.8641505,16.699512,3,
17.210129,0.2712485,-33.796528,0,
14.002228,-8.329538,-7.836954,4,
7.334431,4.0406404,-9.299707,2,
1.8864262,37.165997,-0.49761984,1,
-2.9765387,12.86032,-1.3015802,4,
24.85847,1.2990857,-29.19974,1,
-34.15249,8.914732,-4.364612,3,
26.715275,-12.620622,-2.7940671,2,
9.013596,48.72674,-2.4960654,1,
-18.308237,-3.6681037,-27.695185,0,
23.139256,2.2694252,-0.6019224,1,
2.0109117,-3.4504225,-18.550795,0,
4.9257407,18.64913,-10.091326,1,
-31.676449,-1.7881945,-13.207311,0,
39.930607,3.5617318,-11.253027,4,
-3.7436385,4.6865053,1.8923721,3,
-24.041574,-19.292336,19.016188,3,
-6.9696507,6.8081965,45.665184,3,
-3.864515,-12.025588,-34.052135,0,
-4.740565,-8.111782,-24.557018,0,
-0.22622113,-17.155602,-36.623837,0,
9.770072,46.899483,-8.465153,1,
-37.301346,14.186175,15.411954,3,
-26.911816,7.50421,-3.1842163,3,
-9.379558,-29.352997,24.571629,3,
-8.243798,-14.649556,6.462344,3,
-9.934848,-23.020287,37.438286,3,
33.81022,10.461758,2.919536,1,
9.568973,5.1316075,20.245947,1,
-4.7277293,5.9220676,-30.19424,0,
-6.758562,-12.292751,21.190733,3,
1.9149183,-14.315514,27.972641,4,
5.7403774,-7.7798123,20.114958,4,
6.1778574,-29.16853,16.124386,2,
-35.93024,10.94976,19.508596,3,
-1.4831923,-8.1858835,-24.394527,4,
18.785788,2.8516543,34.809376,1,
-14.830721,-13.056405,-29.815706,0,
-20.560421,-11.17882,10.621755,3,
-6.5813575,-24.777113,37.67303,3,
9.613917,-17.643335,21.136255,4,
21.890379,15.796054,-17.597385,4,
-25.349953,23.116224,-5.2573366,1,
7.7733335,-33.538155,21.337929,3,
-15.310429,25.943674,-7.3653693,1,
11.520284,-14.355199,7.470709,4,
-6.4886575,-2.1711552,-36.662457,0,
-37.305206,14.186162,15.411688,3,
